episode : 304 | score_avg : -307.9780022071365 | loss : 0.12120455503463745 | done : False
episode : 305 | score_avg : -319.68020198642284 | loss : 0.08535121381282806 | done : False
episode : 306 | score_avg : -316.0621817877806 | loss : 0.022528577595949173 | done : False
episode : 307 | score_avg : -316.30596360900256 | loss : 0.43107742071151733 | done : False
episode : 308 | score_avg : -332.2253672481023 | loss : 0.23167504370212555 | done : False
episode : 309 | score_avg : -359.10283052329214 | loss : 10.113637924194336 | done : False
episode : 310 | score_avg : -349.94254747096295 | loss : 0.19115200638771057 | done : False
episode : 311 | score_avg : -360.89829272386663 | loss : 0.1350289285182953 | done : False
episode : 312 | score_avg : -349.85846345147996 | loss : 0.3773435056209564 | done : False
episode : 313 | score_avg : -363.27261710633195 | loss : 0.08077173680067062 | done : False
episode : 314 | score_avg : -351.99535539569877 | loss : 0.061872392892837524 | done : False
episode : 315 | score_avg : -344.8458198561289 | loss : 0.08689751476049423 | done : False
episode : 316 | score_avg : -356.2112378705161 | loss : 0.019791970029473305 | done : False
episode : 317 | score_avg : -365.9901140834645 | loss : 0.06159719079732895 | done : False
episode : 318 | score_avg : -389.4911026751181 | loss : 10.001924514770508 | done : False
episode : 319 | score_avg : -379.7919924076063 | loss : 0.7710703015327454 | done : False
episode : 320 | score_avg : -367.56279316684567 | loss : 0.20038723945617676 | done : False
episode : 321 | score_avg : -357.20651385016106 | loss : 0.5387077331542969 | done : False
episode : 322 | score_avg : -366.035862465145 | loss : 0.21187369525432587 | done : False
episode : 323 | score_avg : -354.4822762186305 | loss : 0.0061878119595348835 | done : False
episode : 324 | score_avg : -345.9840485967674 | loss : 0.6127353310585022 | done : False
episode : 325 | score_avg : -344.7356437370907 | loss : 0.20815761387348175 | done : False
episode : 326 | score_avg : -335.31207936338166 | loss : 0.2507823407649994 | done : False
episode : 327 | score_avg : -328.6808714270435 | loss : 0.04912832751870155 | done : False
episode : 328 | score_avg : -331.01278428433915 | loss : 0.07237648218870163 | done : False
episode : 329 | score_avg : -322.9615058559053 | loss : 0.1330806463956833 | done : False
episode : 330 | score_avg : -315.86535527031475 | loss : 0.02886817790567875 | done : False
episode : 331 | score_avg : -319.8788197432833 | loss : 0.02757575735449791 | done : False
episode : 332 | score_avg : -317.04093776895496 | loss : 0.07676522433757782 | done : False
episode : 333 | score_avg : -310.3868439920595 | loss : 0.05226321890950203 | done : False
episode : 334 | score_avg : -281.49815959285354 | loss : 5.322103023529053 | done : True
episode : 335 | score_avg : -278.9483436335682 | loss : -0.0036143495235592127 | done : False
episode : 336 | score_avg : -245.65350927021137 | loss : 0.9078060984611511 | done : False
episode : 337 | score_avg : -246.13815834319024 | loss : 0.13164691627025604 | done : False
episode : 338 | score_avg : -247.82434250887124 | loss : 0.1765744388103485 | done : False
episode : 339 | score_avg : -249.2419082579841 | loss : 0.16541387140750885 | done : False
episode : 340 | score_avg : -249.3677174321857 | loss : 0.031666349619627 | done : False
episode : 341 | score_avg : -249.48094568896715 | loss : 0.20319706201553345 | done : False
episode : 342 | score_avg : -249.58285112007044 | loss : 0.0936848372220993 | done : False
episode : 343 | score_avg : -249.7245660080634 | loss : 0.046569470316171646 | done : False
episode : 344 | score_avg : -249.80210940725706 | loss : -0.03499223291873932 | done : False
episode : 345 | score_avg : -250.32189846653137 | loss : -0.02227598801255226 | done : False
episode : 346 | score_avg : -250.53970861987824 | loss : -0.0254314374178648 | done : False
episode : 347 | score_avg : -250.53573775789044 | loss : -0.035679277032613754 | done : False
episode : 348 | score_avg : -252.28216398210142 | loss : -0.0044816336594522 | done : False
episode : 349 | score_avg : -252.10394758389128 | loss : -0.02048434317111969 | done : False
