episode : 249 | score_avg : 11.76779622710907 | loss : 5.9509711265563965 | done : True
episode : 250 | score_avg : 11.591016604398163 | loss : 50.80385971069336 | done : True
episode : 251 | score_avg : 11.431914943958347 | loss : 52.118106842041016 | done : True
episode : 252 | score_avg : 11.088723449562513 | loss : 3.219935655593872 | done : True
episode : 253 | score_avg : 11.17985110460626 | loss : 13.249199867248535 | done : True
episode : 254 | score_avg : 11.561865994145634 | loss : 5.180483341217041 | done : True
episode : 255 | score_avg : 11.855679394731073 | loss : 5.678022384643555 | done : True
episode : 256 | score_avg : 12.120111455257966 | loss : 5.671474456787109 | done : True
episode : 257 | score_avg : 12.00810030973217 | loss : 26.34698486328125 | done : True
episode : 258 | score_avg : 12.107290278758953 | loss : 3.9459736347198486 | done : True
episode : 259 | score_avg : 12.19656125088306 | loss : 8.86238956451416 | done : True
episode : 260 | score_avg : 12.376905125794753 | loss : 6.678872585296631 | done : True
episode : 261 | score_avg : 12.289214613215279 | loss : 16.83941078186035 | done : True
episode : 262 | score_avg : 12.460293151893751 | loss : 6.672729015350342 | done : True
episode : 263 | score_avg : 12.314263836704376 | loss : 25.50421714782715 | done : True
episode : 264 | score_avg : 11.932837453033939 | loss : 3.0660951137542725 | done : True
episode : 265 | score_avg : 12.089553707730545 | loss : 8.639189720153809 | done : True
episode : 266 | score_avg : 11.73059833695749 | loss : 3.1690430641174316 | done : True
episode : 267 | score_avg : 11.90753850326174 | loss : 4.189938068389893 | done : True
episode : 268 | score_avg : 12.166784652935569 | loss : 4.357936382293701 | done : True
episode : 269 | score_avg : 12.300106187642012 | loss : 8.63918399810791 | done : True
episode : 270 | score_avg : 12.470095568877811 | loss : 6.684257984161377 | done : True
episode : 271 | score_avg : 12.57308601199003 | loss : 7.256794452667236 | done : True
episode : 272 | score_avg : 12.415777410791026 | loss : 26.121145248413086 | done : True
episode : 273 | score_avg : 12.274199669711924 | loss : 26.199907302856445 | done : True
episode : 274 | score_avg : 12.196779702740733 | loss : 16.985902786254883 | done : True
episode : 275 | score_avg : 12.227101732466659 | loss : 10.168632507324219 | done : True
episode : 276 | score_avg : 11.704391559219992 | loss : 3.0688931941986084 | done : True
episode : 277 | score_avg : 11.783952403297993 | loss : 3.937965154647827 | done : True
