episode : 129 | score_avg : 192.4196365585906 | loss : 0.015249214135110378 | done : False
episode : 130 | score_avg : 179.47767290273157 | loss : 0.20426198840141296 | done : False
episode : 131 | score_avg : 175.6299056124584 | loss : 0.1317993402481079 | done : False
episode : 132 | score_avg : 183.11691505121257 | loss : 0.03928058221936226 | done : False
episode : 133 | score_avg : 178.90522354609132 | loss : 0.09465667605400085 | done : False
episode : 134 | score_avg : 176.31470119148221 | loss : 0.09713069349527359 | done : False
episode : 135 | score_avg : 183.733231072334 | loss : -0.0009060234297066927 | done : False
episode : 136 | score_avg : 190.2599079651006 | loss : -0.02190180867910385 | done : False
episode : 137 | score_avg : 191.93391716859054 | loss : 0.052237484604120255 | done : False
episode : 138 | score_avg : 197.6405254517315 | loss : -0.022995028644800186 | done : False
episode : 139 | score_avg : 198.87647290655835 | loss : 0.05307696759700775 | done : False
episode : 140 | score_avg : 148.38882561590253 | loss : 0.06762372702360153 | done : False
episode : 141 | score_avg : 158.14994305431227 | loss : -0.01872437447309494 | done : False
episode : 142 | score_avg : 82.23494874888107 | loss : 10.284309387207031 | done : False
episode : 143 | score_avg : 96.66145387399297 | loss : 0.5576744675636292 | done : False
episode : 144 | score_avg : 99.14530848659368 | loss : 0.8131504058837891 | done : False
episode : 145 | score_avg : 112.0307776379343 | loss : 0.21531404554843903 | done : False
episode : 146 | score_avg : 125.87769987414087 | loss : -0.017811963334679604 | done : False
episode : 147 | score_avg : 133.0899298867268 | loss : 0.502016007900238 | done : False
episode : 148 | score_avg : 142.88093689805413 | loss : 0.06967582553625107 | done : False
episode : 149 | score_avg : 151.24284320824873 | loss : 0.037602320313453674 | done : False
episode : 150 | score_avg : 161.16855888742387 | loss : 0.08859725296497345 | done : False
episode : 151 | score_avg : 160.3517029986815 | loss : 0.1075592190027237 | done : False
episode : 152 | score_avg : 158.26653269881334 | loss : 0.09407944977283478 | done : False
episode : 153 | score_avg : 167.18987942893202 | loss : -0.0320759154856205 | done : False
episode : 154 | score_avg : 171.62089148603883 | loss : 0.09936929494142532 | done : False
episode : 155 | score_avg : 178.30880233743494 | loss : 0.23400945961475372 | done : False
episode : 156 | score_avg : 185.52792210369145 | loss : 0.024504253640770912 | done : False
episode : 157 | score_avg : 186.92512989332232 | loss : 0.11061609536409378 | done : False
episode : 158 | score_avg : 190.7326169039901 | loss : 0.1429566740989685 | done : False
episode : 159 | score_avg : 196.70935521359112 | loss : 0.02832956612110138 | done : False
episode : 160 | score_avg : 198.48841969223201 | loss : 0.09616150707006454 | done : False
episode : 161 | score_avg : 201.7395777230088 | loss : 0.014434648677706718 | done : False
episode : 162 | score_avg : 206.61561995070795 | loss : 0.1637837141752243 | done : False
episode : 163 | score_avg : 207.25405795563717 | loss : 0.10700155794620514 | done : False
episode : 164 | score_avg : 211.42865216007345 | loss : 0.1417081207036972 | done : False
episode : 165 | score_avg : 215.33578694406611 | loss : -0.007291773799806833 | done : False
episode : 166 | score_avg : 216.75220824965953 | loss : 0.03503856807947159 | done : False
